Date,Value
2015-05-21,61.86
2015-05-20,60.91
2015-05-19,61.11
2015-05-18,62.98
2015-05-15,62.74
2015-05-14,63.13
2015-05-13,63.77
2015-05-12,62.49
2015-05-11,62.03
2015-05-08,62.44
2015-05-07,63.98
2015-05-06,64.96
2015-05-05,63.62
2015-05-04,62.85
2015-05-01,62.23
2015-04-30,62.21
2015-04-29,60.92
2015-04-28,60.41
2015-04-27,61.06
2015-04-24,60.95
2015-04-23,59.14
2015-04-22,58.09
2015-04-21,58.84
2015-04-20,59.5
2015-04-17,59.52
2015-04-16,58.88
2015-04-15,57.01
2015-04-14,55.91
2015-04-13,55.86
2015-04-10,54.04
2015-04-09,53.52
2015-04-08,54.28
2015-04-07,54.61
2015-04-06,53.2
2015-04-03,53.1
2015-04-02,52.93
2015-04-01,52.48
2015-03-31,51.06
2015-03-30,51.45
2015-03-27,52.93
2015-03-26,54.55
2015-03-25,50.83
2015-03-24,50.92
2015-03-23,50.3
2015-03-20,49.93
2015-03-19,50.17
2015-03-18,49.17
2015-03-17,48.76
2015-03-16,49.46
2015-03-13,51.66
2015-03-12,53.16
2015-03-11,52.25
2015-03-10,53.03
2015-03-09,54.53
2015-03-06,55.63
2015-03-05,55.77
2015-03-04,55.82
2015-03-03,55.94
2015-03-02,56.74
2015-02-27,56.83
2015-02-26,56.07
2015-02-25,53.81
2015-02-24,53.54
2015-02-23,54.09
2015-02-20,56.55
2015-02-19,56.29
2015-02-18,56.83
2015-02-17,56.69
2015-02-16,56.43
